2023-11-01 21:42:54,795 - INFO - Epoch [37/50], Train Loss: 0.6246, Train Accuracy: 68.92%, Valid Loss: 0.6258, Valid Accuracy: 68.81%
2023-11-01 21:44:39,041 - INFO - Epoch [38/50], Train Loss: 0.6282, Train Accuracy: 68.92%, Valid Loss: 0.6235, Valid Accuracy: 68.81%
2023-11-01 21:46:23,283 - INFO - Epoch [39/50], Train Loss: 0.6165, Train Accuracy: 68.92%, Valid Loss: 0.6230, Valid Accuracy: 68.81%
2023-11-01 21:48:07,563 - INFO - Epoch [40/50], Train Loss: 0.6262, Train Accuracy: 68.92%, Valid Loss: 0.6267, Valid Accuracy: 68.81%
2023-11-01 21:49:51,796 - INFO - Epoch [41/50], Train Loss: 0.6212, Train Accuracy: 68.92%, Valid Loss: 0.6285, Valid Accuracy: 68.81%
2023-11-01 21:51:36,205 - INFO - Epoch [42/50], Train Loss: 0.6277, Train Accuracy: 68.92%, Valid Loss: 0.6268, Valid Accuracy: 68.81%
2023-11-01 21:53:20,447 - INFO - Epoch [43/50], Train Loss: 0.6364, Train Accuracy: 68.92%, Valid Loss: 0.6248, Valid Accuracy: 68.81%
2023-11-01 21:55:04,787 - INFO - Epoch [44/50], Train Loss: 0.6276, Train Accuracy: 68.92%, Valid Loss: 0.6243, Valid Accuracy: 68.81%
2023-11-01 21:56:49,053 - INFO - Epoch [45/50], Train Loss: 0.6143, Train Accuracy: 68.92%, Valid Loss: 0.6264, Valid Accuracy: 68.81%
2023-11-01 21:58:33,745 - INFO - Epoch [46/50], Train Loss: 0.6134, Train Accuracy: 68.92%, Valid Loss: 0.6342, Valid Accuracy: 68.81%
2023-11-01 22:00:18,003 - INFO - Epoch [47/50], Train Loss: 0.6321, Train Accuracy: 68.92%, Valid Loss: 0.6293, Valid Accuracy: 68.81%
2023-11-01 22:02:02,257 - INFO - Epoch [48/50], Train Loss: 0.6210, Train Accuracy: 68.92%, Valid Loss: 0.6246, Valid Accuracy: 68.81%
2023-11-01 22:03:46,632 - INFO - Epoch [49/50], Train Loss: 0.6196, Train Accuracy: 68.92%, Valid Loss: 0.6279, Valid Accuracy: 68.81%
2023-11-01 22:05:32,517 - INFO - Epoch [50/50], Train Loss: 0.6270, Train Accuracy: 68.92%, Valid Loss: 0.6286, Valid Accuracy: 68.81%
